name,phone_number,email,website,facebook,twitter,instagram,description
Museum MACAN (Modern and Contemporary Art in Nusantara),(021) 22121888,info@museummacan.org,https://www.museummacan.org/,MuseumMACAN,MuseumMACAN,museummacan,"Museum MACAN (Modern and Contemporary Art in Nusantara) merupakan museum khusus yang didirikan pada tahun 2017. Misi museum adalah menjadi panggung bagi seniman untuk memamerkan seni mereka ke khalayak global. Baik seniman aspirasi lokal dan internasional, di dalam dan di luar Indonesia akan memiliki kesempatan untuk dikuratori untuk karya-karya mereka yang luar biasa dalam bidang seni kontemporer."
Museum Mandiri,(021) 6923131,museum_mandiri@yahoo.com,https://museummandiri.wixsite.com/mbmcorner,museummandiri,museum_mandiri,museum_mandiri,"Museum Mandiri merupakan museum khusus yang menempati bangunan peninggalan masa Kolonial, dahulunya berada dalam satu taman yang menyatu dengan Stasiun Kerata Api Jakarta-Kota atau Beos (Bataviasche Oosterspoorweg Maatschappij). Bangunan ini dirancang oleh arsitek NHM, J.J.J. de Bruyn bekerjasama dengan arsitek Belanda lainnya, A.P. Smits dan C. van de Linde. Sedangkan kontraktornya ditangani oleh biro konstuksi NV Nedam (Nederlandse Aanneming Maatshappij)."
Museum MH. Thamrin,"(021) 3903387, (021) 3909148",Museumthamrin1@gmail.com,,,,sahabat_thamrin11,"Museum MH. Thamrin merupakan museum khusus yang berada di bawah kepemilikan Pemerintah Provinsi DKI Jakarta dan dikelola oleh Unit Pengelola Museum Kesejarahan Jakarta. Pada tahun 1994, Ny. Dee Zubaida Dimmyati Thamrin menyerahkan tanah dan bangunan gedung MH. Thamrin kepada Pemerintah Provinsi DKI Jakarta untuk dirawat, dikelola, dan dilestarikan sebagai museum perjuangan dengan nama Gedung Mohammad Husni Thamrin dengan Surat Keputusan Gubernur DKI Jakarta Nomor 1438 Tahun 1994. Museum ini menceritakan perjuangan Mohammad Husni Thamrin pada masa penjajahan Belanda dan sejarah hidup Mohammad Husni Thamrin (MH. Thamrin). Museum MH. Thamrin diresmikan pada 11 Januari 1986."
Museum Nasional Indonesia,(021) 3868172,"museum.nasional@kemdikbud.go.id, musnasindonesia2014@gmail.com",https://www.museumnasional.or.id/,museumnasionalindonesia,MuseumNasional,museum_nasional_indonesia,"Museum Nasional Indonesia merupakan museum umum yang didirikan pada 24 April 1778 dengan nama Bataviaasch Genootschap van Kunsten en Wetenschappen oleh Pemerintah Belanda dengan bentuk himpunan. Himpunan ini bertujuan untuk memajukan ilmu pengetahuan. Salah satu pendiri himpunan ini kemudian menyumbangkan bangunan di Kali Besar dan beberapa koleksi untuk bahan pembelajaran. Koleksi pun semakin bertambah seiring waktu sehingga bangunannya tak cukup menampung lagi. Akhirnya, seluruh koleksi dipindahkan bangunan baru di Jalan Majapahit Nomor 3 namun ternyata setelah beberapa tahun bangunan tersebut juga tak dapat lagi menampung banyaknya koleksi. Seluruh koleksi pun kembali dipindahkan ke lokasi Museum Nasional Indonesia yang sekarang"
Museum Olahraga Nasional,(021) 8401685,mornas_kemenpora@yahoo.com,https://museumor.kemenpora.go.id/,museumolahraga,museum_olahraga,museum_olahraga_nasional,"Museum Olahraga Nasional merupakan museum khusus yang diresmikan pada tahun 1989 oleh Presiden Republik Indonesia Ke-2, Soeharto bertepatan saat Hari Ulang Tahun TMII Ke-14. Pencetusan pembangunan Museum Olahraga Nasional diprakarsai oleh Sri Sultan Hamengkubuwono IX saat menjadi Ketua Komite Olahraga Nasional Indonesia (KONI) Pusat tahun 1981, namun pembangunan museum baru dimulai pada 4 Oktober 1987 dan selesai pada tahun 1989. Pembangunan museum ini didanai oleh masyarakat atas prakarsa Sri Sultan Hamengkubuwono IX melalui Yayasan Panji Olahraga agar masyarakat ikut berkontribusi. Pada tahun 1992 pegelolaan Museum Olahraga diserahkan dari Yayasan Panji Olahraga kepada Menteri Negara Pemuda dan Olahraga. Legalisasi hukum baru dilaksanakan pada tahun 2007 dengan Nomor PER0015/MENPORA/II/2007 tentang Organisasi dan Tata Kerja Museum Olahraga Nasional pada tanggal 27 Februari 2007."
Museum Pemadam Kebakaran,(021) 6344580,damkar.museum@gmail.com,https://museumdamkar.wordpress.com/,humasjakfire,museumdamkardki,museumdamkardki,"Museum Pemadam Kebakaran merupakan museum khusus yang didirikan pada tahun 2015 untuk memberikan pelayanan informasi kepada masyarakat mengenai sejarah pemadam kebakaran. Pendirian museum ini merupakan amanat Undang-undang Nomor 14 Tahun 2008 tentang Keterbukaan Informasi Publik dan Peraturan Gubernur Nomor 48 Tahun 2013 Tentang Layanan Informasi Publik. Museum berada di bawah kepemilikan Dinas Penanggulangan Kebakaran dan Penyelamatan Provinsi DKI Jakarta serta dikelola oleh Bidang Pencegahan, Seksi Publikasi, Informasi, dan Pemberdayaan Masyarakat."
Museum Penerangan,(021) 8408505,muspen@kominfo.go.id,https://muspen.kominfo.go.id,,muspen_kominfo,museumpenerangan,"Museum Penerangan merupakan museum khusus yang diresmikan oleh Presiden Republik Indonesia Ke-2, Soeharto pada 20 April 1993. Museum ini dibangun atas dasar pemikiran bahwa perjuangan bangsa Indonesia sejak zaman sebelum kemerdekaan sampai sekarang tidak lepas dari peran yang dilakukan oleh kegiatan penerangan. Peran yang dilakukan oleh penerangan dengan menggunakan media massa serta organisasi yang sederhana perlu didokumentasikan dan diabadikan dalam satu museum."
Museum Perumusan Naskah Proklamasi,(021) 3144743,munasprok@kemdikbud.go.id,,munasprok,MuseumNasProk,munasprok,"Bangunan museum yang sekarang menjadi museum ini dibangun pada tahun 1927 oleh Asuransi Nillmij yang dirancang oleh Johan Frederik Lodewijk Blankenberg, dengan fungsi sebagai kediaman resmi konsulat Kerajaan Inggris ini merupakan salah satu dari empat rumah tinggal besar di sekitar Taman Surapati (Kediaman Duta Besar Amerika Serikat, Rumah Dinas Gubernur DKI, dan Rumah Tuan Koch (telah dibongkar)) yang dirancang oleh arsitek yang sama. Rumah ini merupakan salah satu bangunan yang berada di daerah yang dirancang sebagai “kota taman” (garden city) pertama di Indonesia oleh Belanda pada tahun 1910. Sebagai sebuah kota taman, pada mulanya daerah Menteng memiliki ruangruang luar yang luas. Antara bangunan dan lingkungan tampak menyatu, serta tidak dibatasi dengan pagar-pagar yang tinggi. Bangunan-bangunan yang dibangun pada kota ini terdiri dari bangunan rumah tinggal dan bangunan fasilitas penunjang misalnya sekolah, kantor, gereja, dan toko."
Museum POLRI,(021) 7210654,museum.polri@yahoo.co.id,https://www.museumpolri.org,museumpolri,,museumpolri,"Museum POLRI merupakan museum khusus yang menjadi salah satu museum dengan konsep experience atau konsep yang memperbolehkan pengunjung untuk mengalami dan merasakan layaknya polisi. Pengunjung dapat menggunakan benda-benda atau alat transportasi yang digunakan oleh polisi. Di museum ini pengunjung dapat melihat sejarah terbentuknya Polisi Republik Indonesia (POLRI). Konsep polisi sudah digunakan pada masa Kerajaan Majapahit yang membentuk Pasukan Bhayangkara Andhika yang bertugas untuk menjaga keamanan kota dan Pasukan Bhayangkara Lelana yang bertugas menjaga keamanan daerah. Di masa VOC juga sudah dikenal konsep polisi yang menggunakan nama kaffers (penjaga penjahat), ratelwatch (penjaga malam), dan landdrost (penjaga luar Batavia). Selain sejarah terbentuknya POLRI, museum ini juga menampilkan kasus-kasus terbaru yang ditangani oleh POLRI, baik di kota maupun di daerah terpencil."
Museum Prangko,(021) 84901310,,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-prangko-indonesia,,,,Museum Prangko merupakan museum khusus yang didirikan pada 29 September 1983 atas gagasan Ibu Tien Soeharto saat acara pameran prangko yang diadakan oleh PT Pos Indonesia pada acara Jambore Pramuka Asia Pasifik Ke IV di Cibubur. Prangko merupakan hal penting dalam memberikan kebanggaan bagi bangsa karena hanya bangsa yang berdaulat dan merdeka yang diperbolehkan oleh Perserikatan Bangsa-Bangsa (PBB) untuk menerbitkan prangko. Prangko menjadi salah satu bukti bahwa Indonesia diakui oleh dunia
Museum Prasasti,(021) 3854060,museumtamanprasasti@gmail.com,,,MuseumPrasasti,museumprasasti,"Museum Prasasti merupakan museum umum yang berada di Jakarta Pusat. Museum ini merupakan Bangunan Cagar Budaya peninggalan masa Kolonial Belanda yang berada di Jalan Tanah Abang Nomor 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan kaligrafi, seni pahat, dan sastra."
Museum Purna Bhakti Pertiwi,(021) 87792078,museumpurnabhaktipertiwi@gmail.com,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-purna-bhakti-pertiwi,,,,"Museum Purna Bhakti Pertiwi merupakan museum khusus yang diresmikan pada 23 Agustus 1993 oleh Presiden Republik Indonesia Ke-2, Soeharto. Pendirian museum berasal dari gagasan Ibu Tien Soeharto yang meresmikan museum bertepatan dengan ulang tahunnya. Museum Purna Bhakti Pertiwi merupakan wahana pelestarian bendabenda bersejarah yang berkaitan dengan perjuangan dan pengabdian Presiden Soeharto dan Ibu Tien Soeharto kepada bangsa Indonesia, sejak masa kemerdekaan hingga masa pembangunan."
Museum Pusaka,(021) 8404155,museum.pusaka@tamanmini.com,,,,,"Museum Pusaka merupakan museum khusus yang diresmikan oleh Presiden Republik Indonesia Ke-2, Soeharto pada tanggal 20 April 1993. Museum Pusaka didirikan bertujuan untuk mengumpulkan, merawat, dan memperagakan benda-benda pusaka. Selain itu, Museum Pusaka bertugas untuk memberikan informasi kepada pengunjung dengan harapan dapat memberikan dan memperluas wawasan budaya masyarakat, khususnya generasi penerus bangsa. Museum berada di bawah pengelolaan Yayasan Harapan Kita."
Museum Santa Maria Juanda,"(021) 3447273, 089655893880",susteran.ursulin@gmail.com,https://museumsantamariajuanda.blogspot.com/,museumsantamariajuanda,,,"Museum Santa Maria Juanda merupakan museum khusus yang berada di bawah kepemilikan dan pengelolaan Komunitas Ursulin Santa Maria. Suster Ursulin adalah biarawati Katolik pertama yang datang di Indonesia (Batavia) pada tanggal 7 Februari 1856. Sekolah dan asrama putri pertama dibuka pada 1 Agustus 1856 sampai sekarang. Sejak dibangunnya sekolah dan asrama putri, banyak benda-benda peninggalan sejarah yang terserak di mana-mana, karena itu benda-benda tersebut dikumpulkan dan dipamerkan. Pada 6 Ferbruari 2011 benda-benda tersebut dipamerkan kepada murid-murid sekolah. Lima tahun kemudian tepatnya pada tahun 2016, museum dibuka untuk pengunjung umum. Dalam museum ini pengunjung dapat melihat kamar tidur pemimpin biara, chestbox, teks doa, relikui atau barang peninggalan orang suci yang dianggap berharga, dan penjelasan misi yang dilakukan di Batavia, Papua, dan Nanga Pinoh."
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,(021) 3105183,,,,,,"Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani merupakan museum khusus yang dibangun sekitar tahun 1930-1940-an ketika masa pengembangan wilayah Menteng dan Gondangdia. Semula gedung ini dipergunakan sebagai rumah tinggal pejabat maskapai swasta Belanda atau Eropa. Pada tahun 1950-an tempat ini dikelola oleh Dinas Perumahan Tentara, kemudian dihuni oleh Letnan Jenderal (Letjen) Ahmad Yani sebagai perwira tinggi TNI AD dengan jabatan terakhir Menteri/ Panglima Angkatan Darat Republik Indonesia. Rumah ini kemudian menjadi museum sejarah sebagai peringatan atas terbunuhnya Letjen A. Yani dalam peristiwa G30S/PKI. Museum ini diresmikan pada 1 Oktober 1966 oleh Menpangad Mayjen Soeharto, sesaat setelah rumah beserta isinya diserahkan oleh Ibu A Yani dan putera-puterinya kepada negara. Museum ini berisi berbagai barang pribadi milik Letjen A. Yani dan keluarganya, foto rekonstruksi peristiwa G30S/PKI, senapan otomatis Thompson dengan beberapa butir sisa peluru milik personel Cakrabirawa yang menewaskan A. Yani."
Museum Satriamandala,(021) 5227946,,http://sejarah-tni.mil.id/2017/03/18/msm/,,kesatriamandala,kesatriamandala,"Museum Satriamandala merupakan museum khusus yang didirikan untuk mengingat sejarah perjuangan Tentara Nasional Indonesia. Museum ini berada di Jalan Gatot Subroto, Jakarta Selatan. Museum ini diresmikan pada tahun 1972 oleh Presiden Republik Indonesia Ke-2, Soeharto, di museum ini terdapat beberapa koleksi berupa peralatan perang beberapa masa, mulai dari peralatan kuno hingga yang modern, seperti ranjau, rudal, torpedo, meriam, hingga tank. Selain memamerkan peralatan perang, di museum ini juga terdapat persenjataan berat dan ringan, panji-panji dalam ketentaraan, dan atribut ketentaraan. Selain itu, di museum ini juga terdapat tandu yang digunakan untuk membawa Jendral Sudirman saat sakit dan melakukan Perang Gerilya melawan Belanda pada tahun 1940-an. Di area Museum Satriamandala juga terdapat Museum Waspada Purbawisesa yang berisi diorama tentang penumpasan DI/TII, dan terdapat beberapa fasilitas pendukung seperti taman bacaan anak, kios cinderamata, kantin, serta gedung serba guna."
Museum Sejarah Jakarta,(021) 6929101,,,,,,"Museum Sejarah Jakarta atau dikenal dengan nama Museum Fatahillah merupakan museum umum yang pada mulanya digunakan sebagai Gedung Balai Kota (Stadhuis). Gedung ini merupakan Gedung Balai Kota kedua yang dibangun pada masa Pemerintahan VOC di Batavia. Pada tanggal 27 April 1626, Gubernur Jenderal Pieter de Carpentier (1623-1627) memutuskan untuk membangun Gedung Balai Kota yang baru ini, kemudian direnovasi pada tanggal 25 Januari 1707 di masa Pemerintahan Gubernur Jenderal, Joan van Hoorn dan selesai direnovasi pada tanggal 10 Juli 1710 di masa Pemerintahan Gubernur Jenderal Abraham van Riebeeck."
Museum Seni Rupa dan Keramik,(021) 6907062,"museum_seni@yahoo.co.id, museumsenirupa_k@yahoo.co.id",https://dinaskebudayaan.jakarta.go.id/museum-seni-rupa-dan-keramik,,museum_keramik,museum_keramikjkt,"Museum Seni Rupa dan Keramik merupakan museum khusus yang gedungnya dibangun pada 12 Januari 1870. Museum pada awalnya digunakan oleh =Pemerintah Hindia-Belanda untuk Kantor Dewan Kehakiman pada Benteng Batavia (Ordinaris Raad van Justitie Binnen Het Kasteel Batavia). Saat pendudukan Jepang dan perjuangan kemerdekaan sekitar tahun 1944, tempat itu dimanfaatkan oleh tentara KNIL dan selanjutnya untuk Asrama Militer TNI."
Museum Serangga,(021) 87798070,museum.serangga@tamanmini.com,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-serangga,,,,"Museum Serangga merupakan museum khusus yang didirikan atas prakarsa pengurus Perhimpunan Kebun Binatang Seluruh Indonesia (PKBSI) dan Museum Zoologicum Bogoriense (MZB) dengan tujuan untuk memperkenalkan keanekaragaman dunia serangga dan merangsang keinginan serta kepedulian masyarakat terhadap peran dan potensinya di alam. Museum diresmikan pada tanggal 20 April 1993 pada ulang tahun Taman Mini Indonesia Indah (TMII) Ke-18. Pada tahun 1998 didirikanlah fasilitas baru yaitu Taman Kupu-kupu beserta kebun pakan, kandang penangkaran, dan pelestarian kupu-kupu yang dilindungi dan langka. Dalam museum ini terdapat koleksi serangga dari seluruh wilayah di Indonesia. Koleksi di museum ini sekitar 600 jenis yang terdiri dari kupu-kupu, kumbang, dan serangga lainnya."
Museum Sumpah Pemuda,"(021) 3103217, (021) 3154546",museumsumpahpemuda@kemdikbud.go.id,http://museumsumpahpemuda.kemdikbud.go.id/,museumsumpahpemuda,M_SumpahPemuda,museumsumpahpemuda,"Museum Sumpah Pemuda merupakan museum khusus yang dijadikan sebagai museum oleh Pemerintah DKI Jakarta tahun 1973 dengan nama Gedung Sumpah Pemuda. Museum diresmikan oleh Presiden Republik Indonesia Ke-2, Soeharto pada tahun 1974. Pada tanggal 16 Agustus 1979 pengelolaan Gedung Sumpah Pemuda diserahkan kepada Departemen Pendidikan dan Kebudayaan dengan Surat Keputusan Menteri Pendidikan dan Kebudayaan Nomor 029/O/1983 tanggal 7 Februari 1983 yang menyatakan bahwa Gedung Sumpah Pemuda dijadikan Unit Pelaksana Teknis (UPT) di lingkungan Direktorat Jenderal Kebudayaan dengan nama Museum Sumpah Pemuda. Pada tahun 2013, bangunan utama gedung Museum Sumpah Pemuda ditetapkan sebagai Bangunan Cagar Budaya Peringkat Nasional melalui Keputusan Menteri Pendidikan dan Kebudayaan Republik Indonesia Nomor 254/M/2013 Tanggal 27 Desember 2013."
Museum Tekstil,(021) 5606613,"museum_seni@yahoo.co.id,  museum_tekstil@yahoo.co.id",,,UP_museum_seni,museum_tekstiljkt,"Museum Tekstil merupakan museum khusus yang didirikan pada tahun 1976 atas prakarsa Gubernur Ali Sadikin. Museum Tekstil merupakan lembaga pendidikan kebudayaan, memiliki misi untuk melestarikan tekstil tradisional sebagai upaya untuk meningkatkan apresiasi masyarakat terhadap tradisi tekstil Indonesia dan partisipasi dalam pelestarian warisan nasional. Museum Tekstil selalu berusaha menginformasikan dan mendidik orang melalui pameran, seminar, workshop, penelitian dan publikasi."
Museum Timor Timur,(021) 8409362,museumtimor.tmii@gmail.com,https://www.tamanmini.com/pesona_indonesia/museum-museum/museum-timor-timur,,,,"Museum Timor Timur merupakan museum khusus yang terletak di sebelah utara Istana Anak-Anak Indonesia, menghadap ke selatan, ke arah Museum Prangko Indonesia serta Museum Fauna Indonesia “Komodo” dan Taman Reptilia. Semula museum ini merupakan sebuah anjungan yang dibangun pada tahun 1979 dan diresmikan tanggal 20 April 1980 oleh Presiden Soeharto. Setelah Provinsi Timor Timur memisahkan diri dengan Negara Kesatuan Republik Indonesia, anjungan Timor Timur kemudian menjadi suatu monumen dan menjadi tanggungjawab Taman Mini Indonesia Indah (TMII)."
Museum Tragedi 12 Mei ’98 Universitas Trisakti,(021) 5663232,humas@trisakti.ac.id,http://humas.trisakti.ac.id/museum-tragedi-12-mei-1998,,musmei_usakti,musmei_usakti,Museum Tragedi 12 Mei ‘98 Universitas Trisakti merupakan museum khusus yang diresmikan pada tahun 1999. Museum ini dirancang oleh Tim Universitas Trisakti yang diketuai Dr. Ing. Eka Sediadi Rasyad yang saat itu menjabat sebagai Dekan Fakultas Teknik Sipil dan Perencanaan (FTSP) Universitas Trisakti. Museum Tragedi 12 Mei ’98 Universitas Trisakti didirikan sebagai perwujudan peran aktif mahasiswa Trisakti dalam memperjuangkan demokrasi dan hak asasi manusia.
Museum Transportasi,(021) 8400482,museum.transportasi@yahoo.com,http://museumtransportasi-tmii.blogspot.com/,,,museumtransportasi,"Museum Transportasi merupakan museum khusus yang diresmikan pada 20 April 1991 oleh Presiden Republik Indonesia Ke-2, Soeharto. Awalnya museum ini hanya direncanakan menjadi Museum Kereta Api, namun berubah menjadi Museum Transportasi sebagai tujuan mengumpulkan, memelihara, meneliti, dan memamerkan bukti sejarah, dan perkembangan transportasi serta perannya dalam pembangunan nasional. Selain itu, museum ini juga diharapkan dapat memberikan tambahan pengetahuan kepada pengunjung mengenai sejarah perkembangan teknologi transportasi sekaligus sebagai tempat rekreasi yang edukatif."
Museum Wayang,(021) 6929560,"museum_seni@yahoo.co.id, museum.wayang@yahoo.co.id",,,,wayangmuseum,"Museum Wayang merupakan museum khusus yang pada tahun 1957 diserahkan kepada Lembaga Kebudayaan Indonesia (LKI) dari Pemerintah Belanda. Pada tanggal 17 September 1962 oleh LKI diserahkan kepada Republik Indonesia dan pada tanggal 23 Juni 1968 diserahkan kepada Provinsi DKI Jakarta sebagai Kantor Dinas Museum dan Sejarah DKI Jakarta. Kemudian, pada tanggal 13 Agustus 1975 diresmikan sebagai Museum Wayang oleh Gubernur DKI Jakarta, Ali Sadikin. Saat Ini Museum Wayang di bawah Pengelolaan Unit Pengelola Museum Seni, Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta."
Pusat Peragaan IPTEK,"(021) 8401488, 081286861686",humasppiptek@gmail.com,https://ppiptek.brin.go.id/,ppiptekpage,ppiptek,ppiptek,"Pusat Peragaan IPTEK merupakan museum khusus yang pendiriannya diprakarsai oleh B.J. Habibie pada tahun 1984. Pada tahun 1991, Pusat Peragaan Ilmu Pengetahuan dan Teknologi (PP IPTEK) resmi dibuka oleh Presiden Republik Indonesia Ke-2, Soeharto, namun masih menggunakan bangunan sementara di Terminal B Skylift-TMII. Baru pada tahun 1995 PP IPTEK menempati bangunan permanen di Kawasan Taman Mini Indonesia Indah (TMII). Bangunan museum yang dibangun dengan desain futuristik diharapkan dapat mengembangkan IPTEK di masa depan dan menjelajah tanpa batas. Alat peraga yang saat ini dipamerkan sudah berjumlah 317 dan merupakan hasil dari ciptaan tenaga ahli dari Puslitbang KIM-LIPI, LUK BPPT, BATAN, dan dari industri strategis dan IBM."
